serial_no,procedure_name,cghs_rate,nabh_hospital_rate,non_nabh_hospital_rate,category
203,Pre-prosthetic surgery- Alveoloplasty,500.0,575.0,500.0,Surgery
204,Pre-prosthetic surgery - ridge augmentation,1200.0,1380.0,1200.0,Surgery
205,Root canal Treatment(RCT) Anterior teeth(per tooth),500.0,575.0,500.0,Scan
206,Root canal Treatment(RCT) Posterior teeth (per tooth),700.0,805.0,700.0,Scan
207,Apicoectomy- Single root,500.0,575.0,500.0,Surgery
208,Apicoectomy-Multiple roots,650.0,748.0,650.0,Surgery
209,Metal Crown-per unit,500.0,575.0,500.0,Surgery
210,Metal Crown with Acrylic facing per unit,700.0,805.0,700.0,Surgery
211,Complete single denture-metal based,1500.0,1725.0,1500.0,Surgery
212,Complete denture- acrylic based per arch,950.0,1093.0,950.0,Surgery
213,Removable partial denture-Metal based-upto 3 teeth,700.0,805.0,700.0,Scan
214,Removable partial denture-Metal based-more than 3 teeth,900.0,1035.0,900.0,Scan
215,Removable partial denture-Acrylic based-upto 3 teeth,500.0,575.0,500.0,Scan
216,Removable partial denture-Acrylic based-more than 3 teeth / Per tooth,264.0,304.0,264.0,Scan
217,Amalgam restoration-per tooth,200.0,230.0,200.0,Surgery
218,Composite Restoration-per tooth-anterior tooth,250.0,288.0,250.0,Surgery
219,Glass Ionomer filling-per tooth,200.0,230.0,200.0,Surgery
220,Scaling & polishing,300.0,345.0,300.0,Surgery
221,Removable Orthodontics appliance- per Arch,700.0,805.0,700.0,Surgery
222,Fixed Orthodontics-per Arch,1150.0,1323.0,1150.0,Surgery
223,Space maintainers-Fixed,500.0,575.0,500.0,Surgery
224,Habit breaking appliances-removable,800.0,920.0,800.0,Surgery
225,Habit breaking appliances-Fixed,1500.0,1725.0,1500.0,Surgery
226,Expansion plate,1000.0,1150.0,1000.0,Surgery
227,Feeding appliance for cleft palate,1500.0,1725.0,1500.0,Surgery
228,Maxillo-facial prosthesis (sal/auricular/orbital/facial lost part),3500.0,4025.0,3500.0,Surgery
229,Functional orthodontic appliances,3000.0,3450.0,3000.0,Surgery
230,Obturator (Maxillo-facial),1500.0,1725.0,1500.0,Surgery
231,Occlusal night guard(splint),800.0,920.0,800.0,Surgery
232,Pure Tone Audiogram,172.0,198.0,172.0,Scan
233,Impedence with stepedeal reflex,230.0,265.0,230.0,Surgery
234,Short Increment Sensitivity Index (SISI) Tone Decay,132.0,152.0,132.0,Surgery
235,Multiple hearing assessment test to Adults,115.0,132.0,115.0,Test
236,Speech Discrimination Score,90.0,104.0,90.0,Surgery
237,Speech Assessment,120.0,138.0,120.0,Surgery
238,Speech therapy per session of 30-40 minutes,131.0,151.0,131.0,Surgery
239,Cold Calorie Test for Vestibular function,172.0,198.0,172.0,Test
240,Removal of foreign body From Nose,345.0,397.0,345.0,Surgery
241,Removal of foreign body From Ear,230.0,265.0,230.0,Surgery
242,Syringing (Ear),166.0,191.0,166.0,Surgery
243,Polyp removal under LA,575.0,661.0,575.0,Surgery
244,Polyp removal under GA,850.0,978.0,850.0,Surgery
245,Peritonsillar abscess Drainage under LA,1449.0,1666.0,1449.0,Surgery
246,Myringoplasty,6900.0,7935.0,6900.0,Surgery
247,Staepedectomy,9200.0,10580.0,9200.0,Surgery
248,Myringotomy with Grommet insertion,4600.0,5290.0,4600.0,Surgery
249,Tympanotomy,8625.0,9919.0,8625.0,Surgery
250,Tympanoplasty,13800.0,15870.0,13800.0,Surgery
251,Mastoidectomy,14950.0,17193.0,14950.0,Surgery
252,Otoplasty,16100.0,18515.0,16100.0,Surgery
253,Labyrinthectomy,13800.0,15870.0,13800.0,Surgery
254,Skull Base surgery,25000.0,28750.0,25000.0,Surgery
255,Facial Nerve Decompression,17250.0,19838.0,17250.0,Surgery
256,Septoplasty,5750.0,6613.0,5750.0,Surgery
257,Submucous Resection,7314.0,8411.0,7314.0,Surgery
258,Septo-rhinoplasty,16100.0,18515.0,16100.0,Surgery
259,Rhinoplasty- Non-cosmetic,11500.0,13225.0,11500.0,Surgery
260,Fracture Reduction of Nasal Bone,4250.0,4888.0,4250.0,Surgery
261,Intra nasal Diathermy,1150.0,1323.0,1150.0,Surgery
262,Turbinectomy,5750.0,6613.0,5750.0,Surgery
263,Endoscopic Dacryocystorhinostomy (DCR),13000.0,14950.0,13000.0,Surgery
264,Endoscopic Surgery ENT,13800.0,15870.0,13800.0,Surgery
265,Septal Perforation Repair,13800.0,15870.0,13800.0,Surgery
266,Antrum Puncture,950.0,1093.0,950.0,Surgery
267,Lateral Rhinotomy,1000.0,1150.0,1000.0,Surgery
268,Cranio-facial resection,25500.0,29325.0,25500.0,Surgery
269,Caldwell Luc Surgery (Radical Antrostomy for maxillary sinus),10626.0,12220.0,10626.0,Surgery
270,Angiofibroma Excision,17000.0,19550.0,17000.0,Surgery
271,Endoscopic Hypophysectomy,21500.0,24725.0,21500.0,Surgery
272,Endoscopic Optic Nerve Decompression,32775.0,37691.0,32775.0,Surgery
273,Decompression of Orbit,25500.0,29325.0,25500.0,Surgery
274,Punch/Wedge biopsy,674.0,775.0,674.0,Surgery
275,Tonsillectomy,5000.0,5750.0,5000.0,Surgery
276,Uvulo-palatoplasty,15000.0,17250.0,15000.0,Surgery
277,Functional Endoscopic Sinus Surgery (FESS) for Antrochoanal polyp,5750.0,6613.0,5750.0,Surgery
278,Functional Endoscopic Sinus Surgery (FESS) for ethmoidal polyp,5750.0,6613.0,5750.0,Surgery
279,Polyp removal ear,748.0,860.0,748.0,Surgery
280,Polyp removal Nose(Septal polyp),748.0,860.0,748.0,Surgery
281,"Mastoidectomy plus Ossiculoplasty including TORP (Total Ossicular Replacement Prosthesis) or PORP (Partial Ossicular Replacement Prosthesis)""",2415.0,2777.0,2415.0,Surgery
282,Endolymphatic sac decompression,2875.0,3306.0,2875.0,Surgery
283,Diagnostic endoscopy under GA,2300.0,2645.0,2300.0,Scan
284,Young's operation for Atrophic rhinitis,6900.0,7935.0,6900.0,Surgery
285,Vidian neurectomy for vasomotor Rhinitis,10350.0,11903.0,10350.0,Surgery
286,Nasal Packing-anterior,345.0,397.0,345.0,Surgery
287,Nasal Packing-posterior,805.0,926.0,805.0,Surgery
288,Ranula Excision,6843.0,7869.0,6843.0,Surgery
289,Tongue Tie excision,1500.0,1725.0,1500.0,Surgery
290,Sub Mandibular Duct Lithotomy,269.0,309.0,269.0,Scan
291,Adenoidectomy,5640.0,6486.0,5640.0,Surgery
292,Palatopharyngoplasty,8165.0,9390.0,8165.0,Surgery
293,Pharyngoplasty,17193.0,19772.0,17193.0,Surgery
294,Styloidectomy,9200.0,10580.0,9200.0,Surgery
295,Direct laryngoscopy including Biopsy under GA,5000.0,5750.0,5000.0,Scan
296,Oesophagoscopy with foreign body removal from Oesophagus,1800.0,2070.0,1800.0,Scan
297,Bronchoscopy with foreign body (FB) removal,2438.0,2804.0,2438.0,Scan
298,Other Major Surgery-ENT,15000.0,17250.0,15000.0,Surgery
299,Other Minor Surgery-ENT,8500.0,9775.0,8500.0,Surgery
300,Ear Lobe Repair one side,500.0,575.0,500.0,Surgery
301,Excision of Pinna for Growth (Squamous/Basal/ Injuries) Skin Only,4000.0,4600.0,4000.0,Surgery
302,Excision of Pinna for Growth (Squamous/Basal/ Injuries) Skin and Cartilage,3800.0,4370.0,3800.0,Surgery
303,Partial Amputation of Pinna,4500.0,5175.0,4500.0,Surgery
304,Total Amputation of Pinna,6200.0,7130.0,6200.0,Surgery
305,Total Amputation & Excision of External Auditory Meatus,1500.0,1725.0,1500.0,Surgery
306,Excision of Cystic Hygroma,5175.0,5951.0,5175.0,Surgery
307,Excision of Cystic Hygroma Extensive,7452.0,8570.0,7452.0,Surgery
308,Excision of Branchial Cyst,10350.0,11903.0,10350.0,Surgery
309,Excision of Branchial Sinus,10350.0,11903.0,10350.0,Surgery
310,Excision of Pharyngeal Diverticulum,10580.0,12167.0,10580.0,Surgery
311,Excision of Carotid Body-Tumours,11615.0,13357.0,11615.0,Surgery
312,Operation for Cervical Rib,12500.0,14375.0,12500.0,Surgery
313,Block Dissection of Cervical Lymph Nodes,15000.0,17250.0,15000.0,Surgery
314,Pharyngectomy & Reconstruction,15000.0,17250.0,15000.0,Surgery
315,Operation for Carcinoma Lip - Wedge-Excision,8050.0,9258.0,8050.0,Surgery
316,Operation for Carcinoma Lip - Vermilionectomy,5758.0,6622.0,5758.0,Surgery
317,Operation for Carcinoma Lip - Wedge Excision and Vermilionectomy,9292.0,10686.0,9292.0,Surgery
318,Estlander Operation (Estlander flap in plastic surgey of lips),7475.0,8596.0,7475.0,Surgery
319,Abbe Operation (Abbe flap in plastic surgery of lips),9800.0,11270.0,9800.0,Surgery
320,Cheek Advancement,9775.0,11241.0,9775.0,Surgery
321,Excision of the Maxilla,19320.0,22218.0,19320.0,Surgery
322,Excision of mandible-segmental,15525.0,17854.0,15525.0,Surgery
323,Mandibulectomy,21000.0,24150.0,21000.0,Surgery
324,Partial Glossectomy,5520.0,6348.0,5520.0,Surgery
325,Hemiglossectomy,7000.0,8050.0,7000.0,Surgery
326,Total Glossectomy,22885.0,26318.0,22885.0,Surgery
327,Combined Mandibulectomy and Neck Dissection Operation (Commando Operation),22000.0,25300.0,22000.0,Surgery
328,Parotidectomy - Superficial,12075.0,13886.0,12075.0,Surgery
329,Parotidectomy - Total,15000.0,17250.0,15000.0,Surgery
330,Parotidectomy - Radical,19550.0,22483.0,19550.0,Surgery
331,Repair of Parotid Duct,11500.0,13225.0,11500.0,Surgery
332,Removal of Submandibular Salivary gland,8625.0,9919.0,8625.0,Surgery
333,Hemithyroidectomy,9500.0,10925.0,9500.0,Surgery
334,Partial Thyroidectomy (lobectomy),11500.0,13225.0,11500.0,Surgery
335,Subtotal Thyroidectomy,13053.0,15011.0,13053.0,Surgery
336,Total Thyroidectomy,19000.0,21850.0,19000.0,Surgery
337,Resection Enucleation of thyroid Adenoma,10580.0,12167.0,10580.0,Surgery
338,Total Thyroidectomy and Block Dissection,26450.0,30418.0,26450.0,Surgery
339,Excision of Lingual Thyroid,16882.0,19414.0,16882.0,Surgery
340,Excision of Thyroglossal Cyst/Fistula,13225.0,15209.0,13225.0,Surgery
341,Excision of Parathyroid Adenoma/Carcinoma,21275.0,24466.0,21275.0,Surgery
342,Laryngectomy,17825.0,20499.0,17825.0,Surgery
343,Laryngo Pharyngectomy,30000.0,34500.0,30000.0,Surgery
344,Hyoid Suspension,10350.0,11903.0,10350.0,Surgery
345,Genioplasty,12000.0,13800.0,12000.0,Surgery
346,Direct Laryngoscopy including biopsy under GA,5175.0,5951.0,5175.0,Scan
347,Phonosurgery,13800.0,15870.0,13800.0,Surgery
348,Fibreoptic examination of Larynx (FOL) under LA,1725.0,1984.0,1725.0,Surgery
349,Microlaryngeal Surgery,10350.0,11903.0,10350.0,Surgery
350,Laryngofissure,17250.0,19838.0,17250.0,Surgery
351,Tracheal Stenosis Excision,19780.0,22747.0,19780.0,Surgery
352,Excisional Biopsies,5750.0,6613.0,5750.0,Surgery
353,Benign Tumour Excisions,9500.0,10925.0,9500.0,Surgery
354,Temporal Bone subtotal resection,20700.0,23805.0,20700.0,Surgery
355,Modified Radical Neck Dissection,25300.0,29095.0,25300.0,Surgery
356,Carotid Body Excision,26000.0,29900.0,26000.0,Surgery
357,Total Laryngectomy,39192.0,45071.0,39192.0,Surgery
358,Flap Reconstructive Surgery,41400.0,47610.0,41400.0,Surgery
359,Parapharyngeal Tumour Excision,39330.0,45230.0,39330.0,Surgery
360,Other Major Surgery-Head and Neck Cancer,21250.0,24438.0,21250.0,Surgery
361,Other Minor Surgery-Head and Neck Cancer,5000.0,5750.0,5000.0,Surgery
362,Drainage of abscess,6000.0,6900.0,6000.0,Surgery
363,Excision of lumps,6969.0,8014.0,6969.0,Surgery
364,Local mastectomy-simple,12650.0,14548.0,12650.0,Surgery
365,Radical mastectomy-formal or modified.,28750.0,33063.0,28750.0,Surgery
366,Excision of mammary fistula,15525.0,17854.0,15525.0,Surgery
367,Segmental resection of breast,16100.0,18515.0,16100.0,Surgery
368,Other Major Surgery-Breast,25000.0,28750.0,25000.0,Surgery
369,Other Minor Surgery-Breast,5000.0,5750.0,5000.0,Surgery
370,Injury Of Superficial Soft Tissues,425.0,489.0,425.0,Surgery
371,Suturing of small wounds,1060.0,1250.0,1060.0,Surgery
372,Secondary suture of wounds,3400.0,4000.0,3400.0,Surgery
373,Debridement of wounds,1275.0,1500.0,1275.0,Surgery
374,Removal Of Foreign Bodies - without C-ARM,1275.0,1500.0,1275.0,Surgery
375,Excision of Cervical Lymph Node under LA,2635.0,3100.0,2635.0,Surgery
376,Excision of Axillary Lymph Node under GI Anaesthesia,6715.0,7900.0,6715.0,Surgery
377,Excision of Inguinal Lymph Node under LA,2550.0,3000.0,2550.0,Surgery
378,Excision Biopsy of Ulcers,1470.0,1691.0,1470.0,Surgery
379,Excision Biopsy of Superficial Lumps,3220.0,3703.0,3220.0,Surgery
380,Incision Biopsy of Growths/Ulcers,1470.0,1691.0,1470.0,Surgery
381,Trucut Needle Biopsy (including Needle),2975.0,3500.0,2975.0,Surgery
382,Percutaneous Kidney Biopsy,1470.0,1691.0,1470.0,Surgery
