hospital_id,hospital_name,city,state,pincode,hospital_type,ownership_type,rating,beds,specialities,source_type,record_nature
HOSP00072,Shree Nellore Health Centre Unit 1,Nellore,Andhra Pradesh,133644,Clinic,Trust,4.5,50,"Emergency, Nephrology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00073,City Gorakhpur Health Centre Unit 1,Gorakhpur,Uttar Pradesh,646406,Diagnostic Centre,Private,3.7,500,"Oncology, Neurology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00074,Metro Gurugram Super Speciality Hospital,Gurugram,Haryana,471676,Diagnostic Centre,Private,3.8,75,"Pediatrics, Nephrology, Cardiology, Emergency",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00075,Lotus Davanagere Super Speciality Hospital Unit 1,Davanagere,Karnataka,544314,Diagnostic Centre,Trust,3.7,150,"Diagnostics, Cardiology, Orthopedics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00076,Shree Jammu MultiSpeciality Hospital,Jammu,Jammu and Kashmir,179328,Diagnostic Centre,Charitable,4.1,100,"Cardiology, General Medicine, Neurology, Oncology, Orthopedics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00077,Guardian Rohtak Medical Centre,Rohtak,Haryana,318937,Diagnostic Centre,Government,4.5,30,"Neurology, Pediatrics, Nephrology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00078,Care Jabalpur MultiSpeciality Hospital Unit 1,Jabalpur,Madhya Pradesh,138144,Super Speciality,Private,4.5,50,"Orthopedics, Pediatrics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00079,Prime Prayagraj Super Speciality Hospital,Prayagraj,Uttar Pradesh,547421,Diagnostic Centre,Private,4.3,75,"Nephrology, Gynaecology, General Medicine",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00080,Lifeline Raipur MultiSpeciality Hospital,Raipur,Chhattisgarh,719292,Diagnostic Centre,Charitable,3.3,100,"Diagnostics, Neurology, Pediatrics, Oncology, Emergency",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00081,Fortune Tiruchirappalli Super Speciality Hospital,Tiruchirappalli,Tamil Nadu,382145,Multispeciality,Private,4.4,15,"Diagnostics, General Medicine, Orthopedics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00082,Sanjeevani Prayagraj Clinic Unit 2,Prayagraj,Uttar Pradesh,549893,Clinic,Private,3.3,100,"General Medicine, Pediatrics, Emergency, Nephrology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00083,City Kochi Health Centre,Kochi,Kerala,737848,Clinic,Trust,3.5,20,"Emergency, Oncology, Diagnostics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00084,Prime Ujjain MultiSpeciality Hospital,Ujjain,Madhya Pradesh,123525,Super Speciality,Private,4.2,30,"Emergency, Pediatrics, Oncology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00085,Fortune Srinagar Clinic,Srinagar,Jammu and Kashmir,272063,Super Speciality,Charitable,3.5,50,"Gynaecology, Emergency, Cardiology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00086,Guardian Vadodara Clinic Unit 1,Vadodara,Gujarat,612812,Multispeciality,Private,3.4,15,"Pediatrics, Oncology, Orthopedics, Neurology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00087,Lotus Rewa Health Centre,Rewa,Madhya Pradesh,343160,Super Speciality,Private,3.7,20,"Orthopedics, Gynaecology, Pediatrics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00088,Metro Guntur Medical Centre Unit 1,Guntur,Andhra Pradesh,191512,Clinic,Charitable,3.9,20,"Nephrology, Neurology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00089,Care Pune Medical Centre,Pune,Maharashtra,172145,Multispeciality,Private,4.3,500,"Cardiology, Pediatrics, General Medicine, Nephrology, Orthopedics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00090,Aarogya Hyderabad Hospital Unit 1,Hyderabad,Telangana,303758,Multispeciality,Charitable,3.5,50,"General Medicine, Cardiology, Orthopedics, Neurology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00091,Harmony Lucknow Health Centre,Lucknow,Uttar Pradesh,363570,Super Speciality,Private,4.7,500,"Cardiology, General Medicine",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00092,Crystal Mangaluru Medical Centre,Mangaluru,Karnataka,114540,Clinic,Charitable,3.5,300,"Gynaecology, Emergency",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00093,Fortune Durgapur MultiSpeciality Hospital,Durgapur,West Bengal,482059,Clinic,Private,4.8,30,"Neurology, Gynaecology, Emergency, Nephrology, General Medicine",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00094,Sanjeevani Jodhpur Hospital,Jodhpur,Rajasthan,848964,Diagnostic Centre,Private,3.4,100,"Emergency, General Medicine, Cardiology, Orthopedics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00095,Fortune Chennai Hospital Unit 1,Chennai,Tamil Nadu,830421,Diagnostic Centre,Private,4.2,75,"Gynaecology, Emergency, Neurology, Orthopedics, Diagnostics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00096,Shree Shimla Hospital,Shimla,Himachal Pradesh,816907,Diagnostic Centre,Charitable,3.8,15,"Cardiology, Neurology, Nephrology, Pediatrics, Oncology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00097,City Rewa Hospital,Rewa,Madhya Pradesh,286920,Clinic,Private,4.4,20,"Oncology, Gynaecology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00098,Sanjeevani Karimnagar Medical Centre Unit 1,Karimnagar,Telangana,402048,Diagnostic Centre,Private,4.6,200,"Neurology, Oncology, Nephrology, Emergency",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00099,Veda Anantapur Clinic Unit 1,Anantapur,Andhra Pradesh,223285,Diagnostic Centre,Private,3.5,200,"Pediatrics, Nephrology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00100,Fortune Moradabad Medical Centre,Moradabad,Uttar Pradesh,632333,Clinic,Private,4.5,20,"Orthopedics, Neurology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00101,Veda Mumbai Super Speciality Hospital Unit 1,Mumbai,Maharashtra,190235,Super Speciality,Private,4.3,20,"Nephrology, Gynaecology, Pediatrics, Oncology, Emergency",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00102,Fortune Dibrugarh Health Centre Unit 1,Dibrugarh,Assam,683173,Super Speciality,Private,4.6,300,"General Medicine, Neurology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00103,Lifeline Navi Mumbai Clinic Unit 1,Navi Mumbai,Maharashtra,147729,Diagnostic Centre,Private,3.8,200,"Orthopedics, Emergency",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00104,Prime Karimnagar Super Speciality Hospital,Karimnagar,Telangana,621134,Clinic,Private,3.4,150,"Diagnostics, Nephrology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00105,Nova Prayagraj Super Speciality Hospital Unit 1,Prayagraj,Uttar Pradesh,168445,Diagnostic Centre,Private,4.7,300,"Pediatrics, Nephrology, Neurology, Diagnostics, Oncology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00106,Medistar Belagavi MultiSpeciality Hospital,Belagavi,Karnataka,494209,Super Speciality,Private,4.2,30,"Diagnostics, General Medicine, Oncology, Gynaecology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00107,Lifeline Lucknow Clinic Unit 1,Lucknow,Uttar Pradesh,803361,Super Speciality,Charitable,3.9,15,"Gynaecology, Diagnostics, Pediatrics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00108,Pioneer Kota Hospital Unit 1,Kota,Rajasthan,130670,Multispeciality,Trust,3.4,30,"General Medicine, Nephrology, Neurology, Pediatrics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00109,Crystal Gwalior Clinic,Gwalior,Madhya Pradesh,441890,Super Speciality,Private,4.0,15,"Diagnostics, Neurology, Oncology, Pediatrics, General Medicine",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00110,Fortune Kakinada Hospital,Kakinada,Andhra Pradesh,284722,Clinic,Private,4.1,100,"Oncology, Neurology, Gynaecology, Nephrology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00111,City Gorakhpur Health Centre Unit 2,Gorakhpur,Uttar Pradesh,531557,Clinic,Private,3.3,500,"Diagnostics, Cardiology, Emergency",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00112,Pioneer Prayagraj MultiSpeciality Hospital,Prayagraj,Uttar Pradesh,557853,Super Speciality,Private,4.6,200,"Oncology, Cardiology, Pediatrics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00113,Crystal Vijayawada MultiSpeciality Hospital Unit 1,Vijayawada,Andhra Pradesh,531844,Diagnostic Centre,Government,3.7,150,"Diagnostics, Emergency, Nephrology, Oncology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00114,Nova Ludhiana Medical Centre Unit 1,Ludhiana,Punjab,714865,Multispeciality,Government,4.1,30,"Gynaecology, Nephrology, Pediatrics, Oncology, Emergency",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00115,Veda Hisar Clinic Unit 1,Hisar,Haryana,362051,Multispeciality,Private,3.8,30,"Pediatrics, Neurology, Emergency",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00116,Sanjeevani Mathura Hospital,Mathura,Uttar Pradesh,787425,Clinic,Trust,3.7,75,"Pediatrics, Gynaecology, Neurology",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00117,Apex Ghaziabad Hospital,Ghaziabad,Uttar Pradesh,596707,Clinic,Private,3.6,75,"Emergency, Neurology, Diagnostics, Oncology, General Medicine",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
HOSP00118,Shree Hubballi Medical Centre,Hubballi,Karnataka,800667,Super Speciality,Private,3.6,75,"General Medicine, Nephrology, Diagnostics",hybrid_augmented_demo,synthetic_hospital_record_using_real_indian_city_coverage
