package_code,procedure_name,speciality,package_rate,category,level_of_care
BM003,"% Total Body Surface Area Burns (TBSA): 40 % - 60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",Burns Management,50000,Surgical,Tertiary
BM003,"% Total Body Surface Area Burns (TBSA): > 60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",Burns Management,80000,Surgical,Tertiary
BM004,"Electrical contact burns: Low voltage - without part of limb / limb loss; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",Burns Management,30000,Surgical,Tertiary
BM004,"Electrical contact burns: Low voltage - with part of limb / limb loss; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",Burns Management,40000,Surgical,Tertiary
BM004,"Electrical contact burns: High voltage - with part of limb / limb loss; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",Burns Management,60000,Surgical,Tertiary
BM004,"Electrical contact burns: High voltage - without part of limb / limb loss; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",Burns Management,50000,Surgical,Tertiary
BM005,"Chemical burns: Without significant facial scarring and/or loss of function; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",Burns Management,40000,Surgical,Tertiary
BM005,"Chemical burns: With significant facial scarring and/or loss of function; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",Burns Management,60000,Surgical,Tertiary
BM006,"Post Burn Contracture surgeries for Functional Improvement (Package including splints, pressure garments, silicone - gel sheet and physiotherapy): Excluding Neck contracture; Contracture release with - Split thickness Skin Graft (STSG) / Full Thickness Skin Graft (FTSG) / Flap cover is done for each joint with post - operative regular dressings for STSG / FTSG / Flap cover.",Burns Management,50000,Surgical,Tertiary
BM006,"Post Burn Contracture surgeries for Functional Improvement (Package including splints, pressure garments, silicone - gel sheet and physiotherapy): Neck contracture; Contracture release with - Split thickness Skin Graft (STSG) / Full Thickness Skin Graft (FTSG) / Flap cover is done for each joint with post-operative regular dressings for STSG / FTSG / Flap cover.",Burns Management,50000,Surgical,Tertiary
ER001,Laceration - Suturing / Dressing,Emergency,2000,Unknown,Primary
ER002,Emergency with stable cardiopulmonary status,Emergency,2000,Medical,Primary
ER002,Emergency with unstable cardiopulmonary status with resuccitation,Emergency,10000,Unknown,Primary
ER003,Animal bites (Excluding Snake Bite),Emergency,1700,Medical,Primary
IN001,Dural AVMs (per sitting) with glue,Interventional Neuroradiology,70000,Surgical,Tertiary
IN001,Dural AVFs (per sitting) with glue,Interventional Neuroradiology,70000,Surgical,Tertiary
IN001,Dural AVMs (per sitting) with onyx,Interventional Neuroradiology,150000,Surgical,Tertiary
IN001,Dural AVFs (per sitting) with onyx,Interventional Neuroradiology,150000,Surgical,Tertiary
IN002,Cerebral AVM embolization - Using Histoacryl (per sitting),Interventional Neuroradiology,100000,Surgical,Tertiary
IN002,Spinal AVM embolization - Using Histoacryl (per sitting),Interventional Neuroradiology,100000,Surgical,Tertiary
IN003,Coil embolization for aneurysms (includes cost of first 3 coils + balloon and / or stent if used),Interventional Neuroradiology,100000,Surgical,Tertiary
IN004,"Carotico-cavernous Fistula (CCF) embolization with coils. [includes 5 coils, guide catheter, micro-catheter, micro-guidewire, general items]",Interventional Neuroradiology,30000,Surgical,Tertiary
IN004,"Carotid-cavernous Fistula (CCF) embolization with balloon (includes one balloon, guide catheter, micro- catheter, micro-guidewire, general items)",Interventional Neuroradiology,64000,Surgical,Tertiary
IN005,Pre-operative tumour embolization (per session),Interventional Neuroradiology,40000,Surgical,Tertiary
IN006,Intracranial balloon angioplasty with stenting,Interventional Neuroradiology,160000,Surgical,Tertiary
IN007,Intracranial thrombolysis / clot retrieval,Interventional Neuroradiology,160000,Surgical,Tertiary
IN008,Balloon test occlusion,Interventional Neuroradiology,70000,Surgical,Tertiary
IN009,Parent vessel occlusion - Basic,Interventional Neuroradiology,30000,Surgical,Tertiary
IN010,Vertebroplasty,Interventional Neuroradiology,40000,Surgical,Tertiary
MC001,Right Heart Catheterization,Cardiology,5000,Unknown,Tertiary
MC001,Left Heart Catheterization,Cardiology,5000,Unknown,Tertiary
MC002,For Deep vein thrombosis (DVT),"Cardiology, Interventional Radiology",30800,Surgical,Tertiary
MC002,For Mesenteric Thrombosis,"Cardiology, Interventional Radiology",30800,Surgical,Tertiary
MC002,For Peripheral vessels,"Cardiology, Interventional Radiology",30800,Surgical,Tertiary
MC003,Coartication of Aorta,Cardiology,38600,Surgical,Tertiary
MC003,Pulmonary Artrey Stenosis,Cardiology,38600,Unknown,Tertiary
MC004,Balloon Pulmonary Valvotomy,Cardiology,23400,Surgical,Tertiary
MC004,Balloon Aortic Valvotomy,Cardiology,23400,Surgical,Tertiary
MC005,Balloon Mitral Valvotomy,Cardiology,35700,Surgical,Tertiary
MC006,Balloon Atrial Septostomy,Cardiology,24400,Surgical,Tertiary
MC007,ASD Device Closure,Cardiology,36900,Surgical,Tertiary
MC008,VSD Device Closure,Cardiology,37900,Surgical,Tertiary
MC009,PDA Device Closure,Cardiology,25000,Surgical,Tertiary
MC010,PDA stenting,Cardiology,40260,Surgical,Tertiary
MC011,"PTCA, inclusive of diagnostic angiogram",Cardiology,40600,Surgical,Tertiary
MC012,Electrophysiological Study,Cardiology,20000,Unknown,Tertiary
MC012,Electrophysiological Study with Radio Frequency Ablation,Cardiology,20000,Unknown,Tertiary
MC013,Percutaneous Transluminal Septal Myocardial Ablation,Cardiology,34000,Surgical,Tertiary
MC014,Temporary Pacemaker implantation,"Cardiology, CTVS",19200,Surgical,Tertiary
MC015,Permanent Pacemaker Implantation - Single Chamber,"Cardiology, CTVS",24500,Surgical,Tertiary
MC016,Permanent Pacemaker Implantation - Double Chamber,"Cardiology, CTVS",33000,Surgical,Tertiary
MC017,Peripheral Angioplasty,Cardiology,34500,Surgical,Tertiary
MC018,Bronchial artery Embolisation (for Haemoptysis),Cardiology,32800,Surgical,Tertiary
MC019,Pericardiocentesis,"Cardiology, General Surgery",12100,Surgical,Tertiary
MC020,Systemic Thrombolysis (for MI),Cardiology,17900,Surgical,Tertiary
MG001,Acute febrile illness,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG002,Severe sepsis,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG002,Septic shock,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG003,Malaria,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG003,Complicated malaria,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG004,Dengue fever,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG004,Dengue hemorrhagic fever,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG004,Dengue shock syndrome,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG005,Chikungunya fever,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG006,Enteric fever,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG007,HIV with complications,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG008,Leptospirosis,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG009,Acute gastroenteritis with moderate dehydration,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG009,Acute gastroenteritis with severe dehydration,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG010,Chronic diarrohea,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG010,Persistent diarrohea,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG011,Dysentery,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG012,Acute viral hepatitis,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG013,Chronic Hepatitis,"General Medicine, Pediatric Medical Management",1800,Unknown,Tertiary
MG014,Liver abscess,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG015,Visceral leishmaniasis,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG016,Pneumonia,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG017,Severe pneumonia,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG018,Empyema,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG019,Lung abscess,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG020,Pericardial tuberculosis,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG020,Pleural tuberculosis,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG021,Urinary Tract Infection,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG022,Viral encephalitis,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG023,Septic Arthritis,"General Medicine, Pediatric Medical Management",1800,Unknown,Tertiary
MG024,Skin and soft tissue infections,"General Medicine, Pediatric Medical Management",1800,Unknown,Tertiary
MG025,Recurrent vomiting with dehydration,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG026,Pyrexia of unknown origin,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG027,Bronchiectasis,General Medicine,1800,Unknown,Primary
MG028,Acute bronchitis,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG029,Acute excaberation of COPD,General Medicine,1800,Medical,Primary
MG030,Acute excaberation of Interstitial Lung Disease,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG031,Bacterial Endocarditis,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG031,Fungal Endocarditis,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG032,Vasculitis,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG033,Acute pancreatitis,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG033,Chronic pancreatitis,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG034,Ascites,"General Medicine, Pediatric Medical Management",1800,Unknown,Tertiary
MG035,Acute transverse myelitis,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG036,Atrial Fibrillation,"General Medicine, Pediatric Medical Management",1800,Unknown,Tertiary
MG037,Cardiac Tamponade,General Medicine,1800,Unknown,Primary
MG038,Congestive heart failure,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG039,Acute asthmatic attack,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG039,Status asthmaticus,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG040,Type 1 respiratory failure,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG040,Type 2 respiratory failure,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG040,"Due to any cause (pneumonia, asthma, COPD, ARDS, foreign body, poisoning, head injury etc.)","General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG041,Upper GI bleeding (conservative),"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG041,Upper GI bleeding (endoscopic),"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG042,Lower GI hemorrhage,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG043,Addison’s disease,"General Medicine, Pediatric Medical Management",1800,Unknown,Tertiary
MG044,Renal colic,General Medicine,1800,Medical,Primary
MG045,AKI / Renal failure,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG046,Seizures,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG047,Status epilepticus,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG048,Cerebrovascular accident,General Medicine,1800,Medical,Primary
MG049,Cerebral sino-venous thrombosis,General Medicine,1800,Medical,Primary
MG049,Acute stroke,General Medicine,1800,Unknown,Primary
MG049,Acute ischemic stroke,General Medicine,1800,Unknown,Primary
MG049,Acute heamorrhagic stroke,General Medicine,1800,Unknown,Primary
MG050,Immune mediated CNS disorders,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG051,Hydrocephalus,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG052,Myxedema coma,"General Medicine, Pediatric Medical Management",1800,Unknown,Tertiary
MG053,Thyrotoxic crisis,"General Medicine, Pediatric Medical Management",1800,Unknown,Tertiary
MG054,Gout,General Medicine,1800,Unknown,Primary
MG055,Pneumothroax,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG056,Neuromuscular disorders,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG057,Hypoglycemia,"General Medicine, Pediatric Medical Management",1800,Unknown,Tertiary
MG058,Diabetic Foot,General Medicine,1800,Unknown,Primary
MG059,Diabetic ketoacidosis,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG060,Hypercalcemia,"General Medicine, Pediatric Medical Management",1800,Unknown,Tertiary
MG060,Hypocalcemia,"General Medicine, Pediatric Medical Management",1800,Unknown,Tertiary
MG060,Hyponatremia,"General Medicine, Pediatric Medical Management",1800,Unknown,Tertiary
MG060,Hypernatremia,"General Medicine, Pediatric Medical Management",1800,Unknown,Tertiary
MG061,Hyperosmolar Non-Ketotic coma,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG062,Accelerated hypertension,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG063,Hypertensive emergencies,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG064,Severe anemia,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG065,Sickle cell Anemia,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG066,Anaphylaxis,"General Medicine, Pediatric Medical Management",1800,Unknown,Tertiary
MG067,Heat stroke,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG068,Systematic lupus erythematosus,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG069,Guillian Barre Syndrome,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG070,Snake bite,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG071,Acute organophosphorus poisoning,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG071,Other poisonings,"General Medicine, Pediatric Medical Management",1800,Medical,Tertiary
MG072,Haemodialysis Dialysis,General Medicine,1500,Medical,Primary
MG072,Peritoneal Dialysis,General Medicine,1500,Medical,Primary
MG073,Plasmapheresis,"General Medicine, Pediatric Medical Management",2000,Medical,Tertiary
MG074,Whole Blood transfusion,"General Medicine, Pediatric Medical Management",2000,Medical,Tertiary
MG074,"Blood component including platelet transfusion (RDP, PC, SDP)","General Medicine, Pediatric Medical Management",2000,Medical,Tertiary
MG075,"High end radiological diagnostic (CT, MRI, Imaging including nuclear imaging)","General Medicine, Pediatric Medical Management",5000,Medical,Tertiary
MG076,High end histopathology (Biopsies) and advanced serology investigations,"General Medicine, Pediatric Medical Management",5000,Medical,Tertiary
MM001,Mental Retardation,Mental Disorders,1500,Medical,Tertiary
MM002,"Mental disorders - Organic, including symptomatic",Mental Disorders,1500,Medical,Tertiary
MM003,"Schizophrenia, schizotypal and delusional disorders",Mental Disorders,1500,Medical,Tertiary
MM004,"Neurotic, stress-related and somatoform disorders",Mental Disorders,1500,Medical,Tertiary
MM005,Mood (affective) disorders,Mental Disorders,1500,Medical,Tertiary
MM006,Behavioural syndromes associated with physiological disturbances and physical factors,Mental Disorders,1500,Medical,Tertiary
MM007,Mental and Behavioural disorders due to psychoactive substance use,Mental Disorders,1500,Medical,Tertiary
MM008,"Pre - Electro Convulsive Therapy (ECT) and Pre - Transcranial Magnetic Stimulation (TMS) Package (Cognitive Tests, Complete Haemogram, Liver Function Test, Renal Function Test, Serum Electrolytes, Electro Cardiogram (ECG), CT / MRI Brain, Electroencephalogram, Thyroid Function Test, VDRL, HIV Test, Vitamin B12 levels, Folate levels, Lipid Profile, Homocysteine levels)",Mental Disorders,10000,Medical,Tertiary
MM009,Electro Convulsive Therapy (ECT) - per session,Mental Disorders,3000,Medical,Tertiary
MM010,Transcranial Magnetic Stimulation (TMS) - per session,Mental Disorders,1000,Medical,Tertiary
MN001,Basic neonatal care package: Babies that can be managed by side of mother in postnatal ward without requiring admission in SNCU/NICU: • Any newborn needing feeding support • Babies requiring closer monitoring or short-term care for conditions like: o Birth asphyxia (need for positive pressure ventilation; no HIE) o Moderate jaundice requiring phototherapy o Large for dates (>97 percentile) Babies o Small for gestational age (less than 3rd centile),Neo - natal Care,500,Medical,Tertiary
MN002,"Special Neonatal Care Package: Babies that required admission to SNCU or NICU: Babies admitted for short term care for conditions like: • Mild Respiratory Distress/tachypnea • Mild encephalopathy • Severe jaundice requiring intensive phototherapy • Haemorrhagic disease of newborn • Unwell baby requiring monitoring • Some dehydration • Hypoglycaemia Mother's stay and food in the hospital for breastfeeding, family centred care and (Kangaroo Mother Care) KMC is mandatory and included in t h e p a c k a g e r a t e",Neo - natal Care,3000,Medical,Tertiary
MN003,"Intensive Neonatal Care Package B a b i e s w i t h b i r t h w e i g h t 1 5 0 0 - 1 7 9 9 g or Babies of any birthweight and at least one of the f o l l o wing conditions: • Need for mechanical ventilation for less than 24 hours or non-invasive respiratory support (CPAP, H F F N C ) • S e p s i s / p n e u m o n i a w i t h o u t c o m p l i c a tions • Hyperbilirubinemia requiring exchange transfusion • Seizures • Major congenital malformations (pre-surgical s t a b i l i z a t i o n , n o t r e q u i r i n g v e n t i l a t i o n ) • Cholestasis significant enough requiring work up and in-hospital management • Congestive heart failure or shock Mother's stay and food in the hospital for breastfeeding, family centred care and (Kangaroo Mother Care) KMC is mandatory and included in t h e p a c k a g e rate",Neo - natal Care,5000,Medical,Tertiary
MN004,"Advanced Neonatal Care Package: B a b i e s w i t h b i r t h w e i g h t o f 1 2 0 0 - 1 4 9 9 g or Babies of any birthweight with at least one of the following conditions: • Any condition requiring invasive ventilation l o n g e r t h a n 2 4 h o u r s • Hypoxic Ischemic encephalopathy requiring T h e r a p e u t i c H y p o t h e r m i a • Cardiac rhythm disorders needing intervention (the cost of cardiac surgery or implant will be c o v e r e d u n d e r c a r d i a c s u r g e r y p a c k a g e s ) • Sepsis with complications such as meningitis or bone and joint infection, DIC or shock • R e n a l f a i l u r e r e q u i r i n g d i a l y s i s • Inborn errors of metabolism Mother's stay and food in the hospital for breastfeeding, family centred care and (Kangaroo Mother Care) KMC is mandatory and included in t h e p a c k a g e r a t e",Neo - natal Care,6000,Medical,Tertiary
MN005,"Critical Care Neonatal Package: B a b i e s w i t h b i r t h w e i g h t o f < 1 2 0 0 g or Babies of any birthweight with at least one of the f o l l o wing conditions: • Severe Respiratory Failure requiring High Frequency Ventilation or inhaled Nitric Oxide (iNO) • Multisystem failure requiring multiple organ support including mechanical ventilation and multiple inotropes • Critical congenital heart disease Mother's stay and food in the hospital for breastfeeding, family centred care and (Kangaroo Mother Care) KMC is mandatory and included in t h e p a c k a g e r a t e",Neo - natal Care,7000,Medical,Tertiary
MN006,"Chronic Care Package: If the baby requires stay beyond the upper limit of usual stay in Package no MN004A or MN005A for conditions like severe BPD requiring respiratory support, severe NEC requiring prolonged TPN support",Neo - natal Care,3000,Medical,Tertiary
MN007,High Risk Newborn Post Discharge Care Package (Protocol Driven),Neo - natal Care,2400,Medical,Tertiary
MN008,Laser Therapy for Retinopathy of Prematurity (Irrespective of no. of eyes affected) - per session,Neo - natal Care,1500,Medical,Tertiary
MN009,Advanced Surgery for Retinopathy of Prematurity,Neo - natal Care,15000,Medical,Tertiary
MN010,Ventriculoperitoneal Shunt Surgery (VP) or Omaya Reservoir or External Drainage for Hydrocephalus,Neo - natal Care,5000,Medical,Tertiary
MO001,Cyclophosphamide + Epirubcin,Medical Oncology,7200,Unknown,Tertiary
MO001,Weekly Paclitaxel for Adjuvant Therapy,Medical Oncology,5800,Unknown,Tertiary
MO001,Weekly Paclitaxel in metastatic setting,Medical Oncology,5800,Unknown,Tertiary
MO001,Cyclophosphamide + Methotrexate + 5 - FU,Medical Oncology,3200,Unknown,Tertiary
MO001,Docetaxel + Cyclophosphamide,Medical Oncology,19800,Unknown,Tertiary
MO001,Trastuzumab,Medical Oncology,21200,Unknown,Tertiary
MO001,Tamoxifen,Medical Oncology,1200,Unknown,Tertiary
MO001,Letrozole,Medical Oncology,3900,Unknown,Tertiary
MO001,Carboplatin + Paclitaxel,Medical Oncology,14900,Unknown,Tertiary
MO001,Capecitabine,Medical Oncology,7400,Unknown,Tertiary
MO001,Carboplatin + Gemcitabine,Medical Oncology,13900,Unknown,Tertiary
MO001,Cyclophosphamide + Adriamycin,Medical Oncology,4500,Unknown,Tertiary
MO001,Fulvestrant,Medical Oncology,11000,Unknown,Tertiary
MO001,Paclitaxel,Medical Oncology,11800,Unknown,Tertiary
MO001,Exemestane,Medical Oncology,10400,Unknown,Tertiary
MO002,Zoledronic Acid,Medical Oncology,4500,Unknown,Tertiary
MO003,Cisplatin + Irinotecan,Medical Oncology,10200,Unknown,Tertiary
MO003,Lipodox + Carboplatin,Medical Oncology,17200,Unknown,Tertiary
MO003,Etoposide,Medical Oncology,3400,Unknown,Tertiary
MO003,Irinotecan,Medical Oncology,8400,Unknown,Tertiary
MO003,Lipodox,Medical Oncology,14800,Unknown,Tertiary
MO003,Carboplatin + Gemcitabine,Medical Oncology,13900,Unknown,Tertiary
MO003,Carboplatin + Paclitaxel,Medical Oncology,14700,Unknown,Tertiary
MO004,Carboplatin (AUC 7),Medical Oncology,5800,Unknown,Tertiary
MO004,Bleomycin + Etoposide + Cisplatin,Medical Oncology,11600,Unknown,Tertiary
MO004,Etoposide + Cisplatin,Medical Oncology,10000,Unknown,Tertiary
MO004,Gemcitabine + Oxaliplatin,Medical Oncology,17500,Unknown,Tertiary
MO004,Gemcitabine + Paclitaxel,Medical Oncology,17500,Unknown,Tertiary
MO004,Paclitaxel + Ifosfamide + Cisplatin,Medical Oncology,24400,Unknown,Tertiary
MO004,Vinblastin + Ifosfamide + Cisplatin,Medical Oncology,12600,Unknown,Tertiary
MO005,EMA - CO,Medical Oncology,11400,Unknown,Tertiary
MO005,EMA - EP,Medical Oncology,12200,Unknown,Tertiary
MO005,Methotrexate,Medical Oncology,1100,Unknown,Tertiary
MO006,Carboplatin + Paclitaxel,Medical Oncology,14900,Unknown,Tertiary
MO006,Cisplatin,Medical Oncology,2200,Unknown,Tertiary
MO007,Carboplatin + Paclitaxel,Medical Oncology,14900,Unknown,Tertiary
MO007,Cisplatin + Doxorubicin,Medical Oncology,4200,Unknown,Tertiary
MO008,Cisplatin + 5 FU,Medical Oncology,7600,Unknown,Tertiary
MO008,Cisplatin,Medical Oncology,2200,Unknown,Tertiary
MO009,VTC + ITMZ for Relapsed Ewing Sarcoma,Medical Oncology,22400,Unknown,Tertiary
MO009,EFT 2001,Medical Oncology,9700,Unknown,Tertiary
MO009,VAC + IE,Medical Oncology,12500,Unknown,Tertiary
MO010,Methotrexate + Doxorubicin + Cisplatin,Medical Oncology,21800,Unknown,Tertiary
MO010,Methotrexate + Doxorubicin + Cisplatin for Relapsed Osteogenic Sarcoma,Medical Oncology,27000,Unknown,Tertiary
MO010,OGS - 12,Medical Oncology,29600,Unknown,Tertiary
MO010,OGS - 12,Medical Oncology,36200,Unknown,Tertiary
MO011,Gemcitabine + Docetaxel,Medical Oncology,30900,Unknown,Tertiary
MO011,Ifosfamide+ Adriamycin,Medical Oncology,13700,Unknown,Tertiary
MO012,Dacarbazine + Cisplatin,Medical Oncology,7100,Unknown,Tertiary
MO012,Temozolamide,Medical Oncology,23100,Unknown,Tertiary
MO013,5 FU + Mitomycin C,Medical Oncology,10500,Unknown,Tertiary
MO013,Capecitabine + Mitomycin C,Medical Oncology,13800,Unknown,Tertiary
MO013,Cisplatin + 5 FU,Medical Oncology,7600,Unknown,Tertiary
MO013,Carboplatin + Paclitaxel,Medical Oncology,14900,Unknown,Tertiary
MO013,Cisplatin + Paclitaxel,Medical Oncology,13300,Unknown,Tertiary
MO014,5 FU + Leucovorin,Medical Oncology,4700,Unknown,Tertiary
MO014,Capecitabine + Irinotecan,Medical Oncology,12500,Unknown,Tertiary
MO014,Folfox,Medical Oncology,11100,Unknown,Tertiary
MO014,Folfiri,Medical Oncology,8700,Unknown,Tertiary
MO014,Capecitabine + Oxaliplatin,Medical Oncology,16500,Unknown,Tertiary
MO014,Capecitabine,Medical Oncology,7200,Unknown,Tertiary
MO014,Capecitabine,Medical Oncology,7300,Unknown,Tertiary
MO014,Folfirinox,Medical Oncology,15100,Unknown,Tertiary
MO015,Carboplatin + Paclitaxel,Medical Oncology,14900,Unknown,Tertiary
MO015,Cisplatin + 5 FU,Medical Oncology,9600,Unknown,Tertiary
MO015,Paclitaxel + Carboplatin for definitive Non - metastatic (With RT),Medical Oncology,25100,Unknown,Tertiary
MO015,Paclitaxel + Carboplatin for metastatic (Without RT),Medical Oncology,25100,Unknown,Tertiary
MO016,Cisplatin + Docetaxel,Medical Oncology,12100,Unknown,Tertiary
MO016,Irinotecan,Medical Oncology,8300,Unknown,Tertiary
MO016,5 FU,Medical Oncology,8000,Unknown,Tertiary
MO016,Capecitabine,Medical Oncology,7200,Unknown,Tertiary
MO016,CAPOX,Medical Oncology,16500,Unknown,Tertiary
MO016,Docetaxel + Cisplatin + 5 FU,Medical Oncology,16400,Unknown,Tertiary
